Title,IMDB Rating,Total Votes,Air Date
Pilot,7.6,3706,24 Mar 2005
Diversity Day,8.3,3566,29 Mar 2005
Health Care,7.9,2983,5 Apr 2005
The Alliance,8.1,2886,12 Apr 2005
Basketball,8.4,3179,19 Apr 2005
Hot Girl,7.8,2852,26 Apr 2005
The Dundies,8.7,3213,20 Sep 2005
Sexual Harassment,8.2,2736,27 Sep 2005
Office Olympics,8.4,2742,4 Oct 2005
The Fire,8.4,2713,11 Oct 2005
Halloween,8.2,2561,18 Oct 2005
The Fight,8.2,2550,1 Nov 2005
The Client,8.6,2631,8 Nov 2005
Performance Review,8.2,2416,15 Nov 2005
E-Mail Surveillance,8.4,2527,22 Nov 2005
Christmas Party,8.8,2755,6 Dec 2005
Booze Cruise,8.6,2679,5 Jan 2006
The Injury,9.0,3282,12 Jan 2006
The Secret,8.3,2363,19 Jan 2006
The Carpet,7.9,2342,26 Jan 2006
Boys and Girls,8.2,2322,2 Feb 2006
Valentine's Day,8.3,2345,9 Feb 2006
Dwight's Speech,8.4,2463,2 Mar 2006
Take Your Daughter to Work Day,8.3,2415,16 Mar 2006
Michael's Birthday,8.1,2337,30 Mar 2006
Drug Testing,8.4,2397,27 Apr 2006
Conflict Resolution,8.7,2440,4 May 2006
Casino Night,9.3,3644,11 May 2006
Gay Witch Hunt,8.9,3086,21 Sep 2006
The Convention,8.2,2275,28 Sep 2006
The Coup,8.5,2387,5 Oct 2006
Grief Counseling,8.0,2311,12 Oct 2006
Initiation,8.2,2254,19 Oct 2006
Diwali,8.0,2320,2 Nov 2006
Branch Closing,8.5,2260,9 Nov 2006
The Merger,8.7,2376,16 Nov 2006
The Convict,8.2,2373,30 Nov 2006
A Benihana Christmas,8.7,2541,14 Dec 2006
Back from Vacation,8.5,2255,4 Jan 2007
Traveling Salesmen,8.6,2316,11 Jan 2007
The Return,8.8,2430,18 Jan 2007
Ben Franklin,8.2,2254,1 Feb 2007
Phyllis' Wedding,8.3,2283,8 Feb 2007
Business School,8.8,2621,15 Feb 2007
Cocktails,8.5,2263,22 Feb 2007
The Negotiation,8.9,2554,5 Apr 2007
Safety Training,8.8,2423,12 Apr 2007
Product Recall,8.7,2408,26 Apr 2007
Women's Appreciation,8.8,2402,3 May 2007
Beach Games,9.1,2783,10 May 2007
The Job,9.3,3010,17 May 2007
Fun Run,8.8,2826,27 Sep 2007
Dunder Mifflin Infinity,8.4,2248,4 Oct 2007
Launch Party,8.5,2173,11 Oct 2007
Money,8.7,2341,18 Oct 2007
Local Ad,8.8,2388,25 Oct 2007
Branch Wars,8.5,2185,1 Nov 2007
Survivor Man,8.3,2110,8 Nov 2007
The Deposition,8.7,2202,15 Nov 2007
Dinner Party,9.3,4095,10 Apr 2008
Chair Model,8.1,2095,17 Apr 2008
Night Out,8.7,2179,24 Apr 2008
Did I Stutter?,8.4,2087,1 May 2008
Job Fair,7.9,1977,8 May 2008
"Goodbye, Toby",9.3,3010,15 May 2008
Weight Loss,8.8,2501,25 Sep 2008
Business Ethics,8.3,1990,9 Oct 2008
Baby Shower,8.1,1954,16 Oct 2008
Crime Aid,8.1,1884,23 Oct 2008
Employee Transfer,8.1,1962,30 Oct 2008
Customer Survey,8.5,2018,6 Nov 2008
Business Trip,8.2,1867,13 Nov 2008
Frame Toby,8.6,2089,20 Nov 2008
The Surplus,8.7,2070,4 Dec 2008
Moroccan Christmas,8.4,1951,11 Dec 2008
The Duel,8.7,2011,15 Jan 2009
Prince Family Paper,8.1,1954,22 Jan 2009
Stress Relief,9.6,5947,1 Feb 2009
Lecture Circuit: Part 1,8.2,1838,5 Feb 2009
Lecture Circuit: Part 2,8.2,1808,12 Feb 2009
Blood Drive,8.1,1847,5 Mar 2009
Golden Ticket,8.7,1987,12 Mar 2009
New Boss,8.3,1875,19 Mar 2009
Two Weeks,8.4,1864,26 Mar 2009
Dream Team,8.3,1863,9 Apr 2009
Michael Scott Paper Company,8.7,2032,9 Apr 2009
Heavy Competition,8.7,1912,16 Apr 2009
Broke,9.1,2508,23 Apr 2009
Casual Friday,8.3,1845,30 Apr 2009
Cafe Disco,8.7,2106,7 May 2009
Company Picnic,8.9,2232,14 May 2009
Gossip,8.7,2127,17 Sep 2009
The Meeting,8.2,1755,24 Sep 2009
The Promotion,8.0,1751,1 Oct 2009
Niagara: Part 1,9.3,3579,8 Oct 2009
Niagara: Part 2,9.3,1946,8 Oct 2009
Mafia,7.7,1829,15 Oct 2009
The Lover,8.6,1917,22 Oct 2009
Koi Pond,8.2,1739,29 Oct 2009
Double Date,8.2,1709,5 Nov 2009
Murder,8.6,2016,12 Nov 2009
Shareholder Meeting,8.2,1726,19 Nov 2009
Scott's Tots,8.3,1981,3 Dec 2009
Secret Santa,8.5,1844,10 Dec 2009
The Banker,6.8,2288,21 Jan 2010
Sabre,7.8,1681,4 Feb 2010
Manager and Salesman,8.1,1670,11 Feb 2010
The Delivery: Part 1,8.4,1750,4 Mar 2010
The Delivery: Part 2,8.5,1769,4 Mar 2010
St. Patrick's Day,7.8,1642,11 Mar 2010
New Leads,7.9,1609,18 Mar 2010
Happy Hour,8.6,1873,25 Mar 2010
Secretary's Day,7.9,1613,22 Apr 2010
Body Language,8.0,1633,29 Apr 2010
The Cover-Up,8.2,1627,6 May 2010
The Chump,7.9,1571,13 May 2010
Whistleblower,8.0,1625,20 May 2010
Nepotism,8.4,1897,23 Sep 2010
Counseling,8.3,1684,30 Sep 2010
Andy's Play,8.2,1802,7 Oct 2010
Sex Ed,7.9,1650,14 Oct 2010
The Sting,7.8,1612,21 Oct 2010
Costume Contest,8.2,1663,28 Oct 2010
Christening,7.5,1668,4 Nov 2010
Viewing Party,7.9,1633,11 Nov 2010
WUPHF.com,7.8,1598,18 Nov 2010
China,8.2,1661,2 Dec 2010
Classy Christmas,8.9,2138,9 Dec 2010
Ultimatum,8.3,1695,20 Jan 2011
The Seminar,7.7,1615,27 Jan 2011
The Search,8.5,1741,3 Feb 2011
PDA,8.4,1735,10 Feb 2011
Threat Level Midnight,9.3,3524,17 Feb 2011
Todd Packer,7.5,1581,24 Feb 2011
Garage Sale,9.2,2741,24 Mar 2011
Training Day,7.8,1655,14 Apr 2011
Michael's Last Dundies,8.9,2181,21 Apr 2011
"Goodbye, Michael",9.7,5748,28 Apr 2011
The Inner Circle,7.7,1634,5 May 2011
"Dwight K. Schrute, (Acting) Manager",8.7,1840,12 May 2011
Search Committee,8.8,2040,19 May 2011
The List,8.2,1829,22 Sep 2011
The Incentive,8.2,1668,29 Sep 2011
Lotto,7.3,1601,6 Oct 2011
Garden Party,8.1,1717,13 Oct 2011
Spooked,7.6,1543,27 Oct 2011
Doomsday,7.8,1476,3 Nov 2011
Pam's Replacement,7.7,1563,10 Nov 2011
Gettysburg,7.0,1584,17 Nov 2011
Mrs. California,7.7,1553,1 Dec 2011
Christmas Wishes,8.0,1547,8 Dec 2011
Trivia,7.9,1488,12 Jan 2012
Pool Party,8.0,1612,19 Jan 2012
Jury Duty,7.5,1478,2 Feb 2012
Special Project,7.8,1432,9 Feb 2012
Tallahassee,7.9,1522,16 Feb 2012
After Hours,8.1,1567,23 Feb 2012
Test the Store,7.8,1478,1 Mar 2012
Last Day in Florida,7.8,1429,8 Mar 2012
Get the Girl,6.7,1642,15 Mar 2012
Welcome Party,7.2,1489,12 Apr 2012
Angry Andy,7.1,1585,19 Apr 2012
Fundraiser,7.1,1453,26 Apr 2012
Turf War,7.7,1393,3 May 2012
Free Family Portrait Studio,7.8,1464,10 May 2012
New Guys,7.7,1577,20 Sep 2012
Roy's Wedding,7.2,1477,27 Sep 2012
Andy's Ancestry,7.5,1461,4 Oct 2012
Work Bus,7.9,1551,18 Oct 2012
Here Comes Treble,7.1,1515,25 Oct 2012
The Boat,7.8,1455,8 Nov 2012
The Whale,7.7,1406,15 Nov 2012
The Target,7.8,1438,29 Nov 2012
Dwight Christmas,8.4,1634,6 Dec 2012
Lice,7.7,1470,10 Jan 2013
Suit Warehouse,7.9,1441,17 Jan 2013
Customer Loyalty,8.0,1508,24 Jan 2013
Junior Salesman,7.7,1394,31 Jan 2013
Vandalism,7.6,1402,31 Jan 2013
Couples Discount,7.4,1407,7 Feb 2013
Moving On,8.2,1572,14 Feb 2013
The Farm,7.5,1656,14 Mar 2013
Promos,8.0,1445,4 Apr 2013
Stairmageddon,8.0,1484,11 Apr 2013
Paper Airplane,8.0,1482,25 Apr 2013
Livin' the Dream,8.9,2041,2 May 2013
A.A.R.M.,9.3,2860,9 May 2013
Finale,9.7,7934,16 May 2013
